Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","356","India","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","8568.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","360","Indonesia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","13495.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","364","Iran (Islamic Republic of)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15499.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","368","Iraq","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","13062","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","372","Ireland","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","122596","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","376","Israel","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","48318.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","380","Italy","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","51941.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","388","Jamaica","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","10114","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","392","Japan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","44913.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","400","Jordan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","9222.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","398","Kazakhstan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","34210.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","404","Kenya","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5513.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","296","Kiribati","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2209.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","414","Kuwait","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","52164.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","417","Kyrgyzstan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5991.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","418","Lao People's Democratic Republic","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","8215.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","428","Latvia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","38116.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","426","Lesotho","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2457.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","430","Liberia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1598.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","434","Libya","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","14777.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","440","Lithuania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","47025.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","442","Luxembourg","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","137059","X","Figure from international organizations",""
